nohup: ignoring input
Traceback (most recent call last):
  File "/home7/huangjunhao/xujingzehua/USV-AUV-col/train_td3.py", line 12, in <module>
    from td3 import TD3
  File "/home7/huangjunhao/xujingzehua/USV-AUV-col/td3.py", line 3, in <module>
    import torch
ModuleNotFoundError: No module named 'torch'
nohup: ignoring input
EP:0 | TD Error [0, 0] | ALoss [0, 0] | ep_r -209 | L_data 0.64 | sum_rate 0.00 | idu 0.00 | ec 162.61 | N_D 8 | CS [0. 0.] | FX [101.   9.]
EP:1 | TD Error [2354.266671510945, 1952.8986303905372] | ALoss [33.80007922205651, 22.967312699085788] | ep_r -157 | L_data 0.63 | sum_rate 0.00 | idu 0.00 | ec 118.98 | N_D 8 | CS [27. 27.] | FX [45. 58.]
EP:2 | TD Error [142.40948674395366, 67.46509679476102] | ALoss [48.26526615931676, 35.23948973923415] | ep_r -208 | L_data 0.65 | sum_rate 0.00 | idu 0.00 | ec 94.26 | N_D 8 | CS [0. 0.] | FX [58. 22.]
EP:3 | TD Error [124.50429925337419, 49.12530147064697] | ALoss [56.436703303715326, 40.226522592397835] | ep_r -109 | L_data 0.64 | sum_rate 0.00 | idu 0.00 | ec 92.51 | N_D 8 | CS [0. 0.] | FX [43.  0.]
EP:4 | TD Error [73.93744914657944, 9.4761234920818] | ALoss [65.25673340941286, 46.438004568978386] | ep_r -76 | L_data 0.63 | sum_rate 0.24 | idu 1.00 | ec 93.56 | N_D 8 | CS [0. 0.] | FX [  0. 138.]
EP:5 | TD Error [57.176695538805674, 7.610416701028159] | ALoss [72.49882385375855, 55.392168126978] | ep_r -124 | L_data 0.64 | sum_rate 0.00 | idu 0.00 | ec 92.06 | N_D 8 | CS [0. 0.] | FX [101.   0.]
EP:6 | TD Error [45.72204146732936, 5.673311667247014] | ALoss [81.80273521339501, 68.6467014583317] | ep_r -129 | L_data 0.64 | sum_rate 0.00 | idu 0.00 | ec 107.88 | N_D 8 | CS [0. 0.] | FX [  0. 117.]
EP:7 | TD Error [86.30950764628437, 5.945408908994525] | ALoss [90.74141731986275, 84.12555590161791] | ep_r -180 | L_data 0.65 | sum_rate 0.24 | idu 1.00 | ec 95.95 | N_D 8 | CS [22. 22.] | FX [20. 79.]
EP:8 | TD Error [58.88040938648906, 9.103381955302083] | ALoss [100.63684310684432, 98.31064809214223] | ep_r -164 | L_data 0.64 | sum_rate 0.00 | idu 0.00 | ec 112.94 | N_D 8 | CS [0. 0.] | FX [  0. 183.]
EP:9 | TD Error [49.58188088766702, 7.647243442354383] | ALoss [108.51568400776469, 111.8178603775375] | ep_r -141 | L_data 0.64 | sum_rate 0.00 | idu 0.00 | ec 126.39 | N_D 8 | CS [0. 0.] | FX [210. 189.]
EP:10 | TD Error [46.001552120193494, 8.583327518000113] | ALoss [117.46188563328761, 123.87331554248973] | ep_r -126 | L_data 0.64 | sum_rate 0.47 | idu 2.00 | ec 123.02 | N_D 8 | CS [0. 0.] | FX [146.  35.]
EP:11 | TD Error [44.3283562760253, 9.984464958116606] | ALoss [127.14736554339216, 133.36893945592982] | ep_r -123 | L_data 0.64 | sum_rate 0.00 | idu 0.00 | ec 110.88 | N_D 8 | CS [0. 0.] | FX [ 0. 24.]
EP:12 | TD Error [42.719845040099365, 10.726416120757827] | ALoss [136.90051652144243, 142.72369819206673] | ep_r -126 | L_data 0.64 | sum_rate 0.24 | idu 1.00 | ec 112.16 | N_D 8 | CS [0. 0.] | FX [0. 0.]
EP:13 | TD Error [41.998038823549805, 11.278422157485764] | ALoss [145.3648958920718, 149.25616293496543] | ep_r -81 | L_data 0.63 | sum_rate 0.71 | idu 3.00 | ec 131.76 | N_D 7 | CS [0. 0.] | FX [0. 0.]
EP:14 | TD Error [42.453969698209505, 12.186538816331984] | ALoss [155.74068844973385, 155.564522452645] | ep_r -74 | L_data 0.62 | sum_rate 0.71 | idu 3.00 | ec 123.84 | N_D 7 | CS [0. 0.] | FX [218.  37.]
EP:15 | TD Error [49.24840799554602, 12.191593606512505] | ALoss [165.36965661901576, 163.37111085325807] | ep_r -103 | L_data 0.65 | sum_rate 0.24 | idu 1.00 | ec 120.35 | N_D 8 | CS [0. 0.] | FX [ 0. 43.]
EP:16 | TD Error [45.65652020327695, 12.496773763612792] | ALoss [176.83772489717313, 170.46009383072982] | ep_r -88 | L_data 0.62 | sum_rate 0.71 | idu 3.00 | ec 121.11 | N_D 7 | CS [0. 0.] | FX [31.  0.]
EP:17 | TD Error [46.53086508332671, 13.389647823947293] | ALoss [185.54725401551573, 175.14820098114777] | ep_r -80 | L_data 0.61 | sum_rate 0.95 | idu 4.00 | ec 128.02 | N_D 7 | CS [0. 0.] | FX [79.  0.]
EP:18 | TD Error [44.2834371096128, 14.3010814139893] | ALoss [194.42516766680586, 181.51675951611864] | ep_r -87 | L_data 0.66 | sum_rate 0.00 | idu 0.00 | ec 122.57 | N_D 8 | CS [0. 0.] | FX [0. 0.]
EP:19 | TD Error [45.11836292788937, 14.84428167533684] | ALoss [204.17399693202304, 187.5478040331251] | ep_r -86 | L_data 0.64 | sum_rate 0.47 | idu 2.00 | ec 108.62 | N_D 8 | CS [0. 0.] | FX [  0. 177.]
EP:20 | TD Error [45.48755978061246, 16.409380127261805] | ALoss [207.6812325552865, 191.7077436113691] | ep_r -76 | L_data 0.62 | sum_rate 0.47 | idu 2.00 | ec 127.84 | N_D 7 | CS [0. 0.] | FX [0. 0.]
EP:21 | TD Error [40.03340072231693, 16.385293105027298] | ALoss [204.79874388916747, 190.92486666775608] | ep_r -73 | L_data 0.65 | sum_rate 0.24 | idu 1.00 | ec 116.18 | N_D 8 | CS [0. 0.] | FX [192.  66.]
EP:22 | TD Error [35.910436698844975, 17.13257615692489] | ALoss [201.3708132077883, 192.32994514030892] | ep_r -62 | L_data 0.60 | sum_rate 1.66 | idu 7.00 | ec 118.99 | N_D 6 | CS [0. 0.] | FX [0. 0.]
EP:23 | TD Error [35.3250403875833, 18.51173326661894] | ALoss [197.0308490947529, 191.54126546671102] | ep_r -67 | L_data 0.63 | sum_rate 0.71 | idu 3.00 | ec 118.20 | N_D 7 | CS [0. 0.] | FX [24. 80.]
